"code_muni","name_muni","code_state","abbrev_state"
3101904,"Alpinópolis","31","MG"
3102001,"Alterosa","31","MG"
3102605,"Andradas","31","MG"
3104106,"Arceburgo","31","MG"
3104908,"Baependi","31","MG"
3107109,"Boa Esperança","31","MG"
3107604,"Bom Jesus Da Penha","31","MG"
3108404,"Botelhos","31","MG"
3109105,"Bueno Brandão","31","MG"
3109501,"Cabo Verde","31","MG"
3109709,"Cachoeira De Minas","31","MG"
3110707,"Cambuquira","31","MG"
3110905,"Campanha","31","MG"
3111002,"Campestre","31","MG"
3111606,"Campos Gerais","31","MG"
3113602,"Careaçu","31","MG"
3113909,"Carmo Da Cachoeira","31","MG"
3114105,"Carmo De Minas","31","MG"
3114402,"Carmo Do Rio Claro","31","MG"
3115102,"Cássia","31","MG"
3117108,"Conceição Da Aparecida","31","MG"
3117702,"Conceição Do Rio Verde","31","MG"
3118700,"Coqueiral","31","MG"
3119005,"Cordislândia","31","MG"
3120508,"Cristina","31","MG"
3123601,"Elói Mendes","31","MG"
3126307,"Fortaleza De Minas","31","MG"
3128303,"Guaranésia","31","MG"
3128709,"Guaxupé","31","MG"
3129202,"Heliodora","31","MG"
3134806,"Jacuí","31","MG"
3134905,"Jacutinga","31","MG"
3135902,"Jesuânia","31","MG"
3136900,"Juruaia","31","MG"
3143005,"Monte Belo","31","MG"
3143203,"Monte Santo De Minas","31","MG"
3143401,"Monte Sião","31","MG"
3144409,"Natércia","31","MG"
3145109,"Nova Resende","31","MG"
3146008,"Ouro Fino","31","MG"
3147907,"Passos","31","MG"
3149101,"Pedralva","31","MG"
3151701,"Poço Fundo","31","MG"
3151800,"Poços De Caldas","31","MG"
3159605,"Santa Rita Do Sapucaí","31","MG"
3160801,"São Bento Abade","31","MG"
3162005,"São Gonçalo Do Sapucaí","31","MG"
3163904,"São Pedro Da União","31","MG"
3164407,"São Sebastião Da Bela Vista","31","MG"
3165206,"São Thomé Das Letras","31","MG"
3166907,"Serrania","31","MG"
3167400,"Silvianópolis","31","MG"
3167806,"Soledade De Minas","31","MG"
3169802,"Turvolândia","31","MG"
3500402,"Águas Da Prata","35","SP"
3500501,"Águas De Lindóia","35","SP"
3501905,"Amparo","35","SP"
3508702,"Caconde","35","SP"
3509502,"Campinas","35","SP"
3513900,"Divinolândia","35","SP"
3515186,"Espírito Santo Do Pinhal","35","SP"
3522604,"Itapira","35","SP"
3527009,"Lindóia","35","SP"
3530508,"Mococa","35","SP"
3531209,"Monte Alegre Do Sul","35","SP"
3546306,"Santa Cruz Das Palmeiras","35","SP"
3548005,"Santo Antônio De Posse","35","SP"
3548104,"Santo Antônio Do Jardim","35","SP"
3549102,"São João Da Boa Vista","35","SP"
3549706,"São José Do Rio Pardo","35","SP"
3550803,"São Sebastião Da Grama","35","SP"
3551603,"Serra Negra","35","SP"
3552106,"Socorro","35","SP"
3553302,"Tambaú","35","SP"
3553609,"Tapiratiba","35","SP"
3556404,"Vargem Grande Do Sul","35","SP"
