"cod","unidade","nome","Arabica_area","Canephora_area","area_total","proporcao_Arabica","proporcao_Canephora","yield","FC_m","FC2km","FC500m","PollinatorD","EUdist","ID","Principal"
"2900900","MU","Almadina (BA)",0,100,100,0,1,20.55555556,0.459666667,0.729333333,0.582333333,1,52.87795425,"other municipalities","Canephora"
"2902252","MU","Arataca (BA)",0,1450,1450,0,1,28.45555556,0.882,0.782333333,0.593666667,1,49.26414609,"other municipalities","Canephora"
"2902906","MU","Barra do Choça (BA)",18000,0,18000,1,0,17.66111111,0.175,0.137333333,0.116,0.3,287.7084416,"other municipalities","Arabica"
"2904803","MU","Caatiba (BA)",125,0,125,1,0,10,0.166333333,0.058333333,0.231,0.3,811.4261436,"other municipalities","Arabica"
"2905602","MU","Camacan (BA)",0,826,826,0,1,18.37777778,0.745333333,0.639333333,0.404333333,1,95.95488104,"other municipalities","Canephora"
"2905800","MU","Camamu (BA)",0,180,180,0,1,18.33333333,0.677666667,0.814333333,0.663,1,39.80384766,"other municipalities","Canephora"
"2908002","MU","Coaraci (BA)",0,80,80,0,1,21.45555556,0.529,0.764666667,0.619333333,1,56.43135265,"other municipalities","Canephora"
"2909505","MU","Cravolândia (BA)",180,0,180,1,0,10,0.368333333,0.505,0.517333333,0.3,56.01244044,"other municipalities","Arabica"
"2910008","MU","Dário Meira (BA)",0,35,35,0,1,10.28333333,0.319333333,0.356666667,0.447333333,1,82.49391715,"other municipalities","Canephora"
"2910404","MU","Encruzilhada (BA)",5000,0,5000,1,0,11.99444444,0.137,0.177333333,0.149333333,0.3,194.5011388,"other municipalities","Arabica"
"2910727","MU","Eunápolis (BA)",0,1183,1183,0,1,10,0.221,0.174666667,0.126666667,1,275.1183042,"other municipalities","Canephora"
"2911204","MU","Gandu (BA)",0,68,68,0,1,10.86111111,0.718333333,0.695666667,0.625666667,1,28.77219151,"other municipalities","Canephora"
"2911808","MU","Guaratinga (BA)",0,900,900,0,1,10.93888889,0.190666667,0.239333333,0.21,1,222.309036,"other municipalities","Canephora"
"2912707","MU","Ibirapitanga (BA)",0,100,100,0,1,10.74444444,0.758333333,0.607,0.327333333,1,129.4475839,"other municipalities","Canephora"
"2913507","MU","Iguaí (BA)",300,0,300,1,0,4.722222222,0.207666667,0.226333333,0.281666667,0.3,110.4127463,"other municipalities","Arabica"
"2914653","MU","Itabela (BA)",0,3000,3000,0,1,10,0.270333333,0.176666667,0.145666667,1,212.9393239,"other municipalities","Canephora"
"2915106","MU","Itagi (BA)",45,0,45,1,0,12.44444444,0.458,0.376333333,0.373333333,0.3,48.63330828,"other municipalities","Arabica"
"2915502","MU","Itajuípe (BA)",0,120,120,0,1,16.88888889,0.830666667,0.809,0.615666667,1,48.31205503,"other municipalities","Canephora"
"2915601","MU","Itamaraju (BA)",0,8500,8500,0,1,34,0.23,0.097666667,0.081666667,1,448.7629545,"other municipalities","Canephora"
"2915700","MU","Itamari (BA)",0,60,60,0,1,12.92777778,0.627666667,0.619333333,0.474333333,1,37.56018709,"other municipalities","Canephora"
"2915809","MU","Itambé (BA)",400,0,400,1,0,10,0.138333333,0.073,0.069666667,0.3,359.226421,"other municipalities","Arabica"
"2916005","MU","Itanhém (BA)",0,1280,1280,0,1,13.77777778,0.052666667,0.113333333,0.129,1,393.223856,"other municipalities","Canephora"
"2916708","MU","Itaquara (BA)",240,0,240,1,0,8.955555556,0.208333333,0.204666667,0.151333333,0.3,162.4562378,"other municipalities","Arabica"
"2916906","MU","Itiruçu (BA)",1750,0,1750,1,0,10,0.221666667,0.170666667,0.164,0.3,167.4504164,"other municipalities","Arabica"
"2918209","MU","Jiquiriçá (BA)",0,50,50,0,1,18.31111111,0.55,0.424,0.508333333,1,24.64659845,"other municipalities","Canephora"
"2918308","MU","Jitaúna (BA)",40,0,40,1,0,12.4,0.590666667,0.617,0.462333333,0.3,73.52168242,"other municipalities","Arabica"
"2918456","MU","Jucuruçu (BA)",0,1600,1600,0,1,23.05555556,0.171,0.254,0.158,1,215.2026673,"other municipalities","Canephora"
"2918555","MU","Jussari (BA)",0,130,130,0,1,21.12222222,0.336666667,0.621666667,0.610666667,1,58.69976342,"other municipalities","Canephora"
"2920908","MU","Mascote (BA)",0,152,152,0,1,15.9,0.407333333,0.328,0.192333333,1,189.3845939,"other municipalities","Canephora"
"2921104","MU","Medeiros Neto (BA)",0,70,70,0,1,14.32777778,0.014666667,0.015,0.037333333,1,723.1161008,"other municipalities","Canephora"
"2922706","MU","Nova Canaã (BA)",500,0,500,1,0,4.883333333,0.112,0.351666667,0.487333333,0.3,78.53528574,"other municipalities","Arabica"
"2925758","MU","Presidente Tancredo Neves (BA)",0,150,150,0,1,16.12777778,0.601666667,0.645666667,0.568,1,26.86127385,"other municipalities","Canephora"
"2926657","MU","Ribeirão do Largo (BA)",2500,0,2500,1,0,11.11111111,0.192,0.297666667,0.253666667,0.3,136.2703188,"other municipalities","Arabica"
"2927903","MU","Santa Inês (BA)",17,0,17,1,0,10.00555556,0.352333333,0.488666667,0.415,0.3,97.1399067,"other municipalities","Arabica"
"2928059","MU","Santa Luzia (BA)",0,350,350,0,1,22.88888889,0.627,0.551666667,0.428333333,1,95.64200726,"other municipalities","Canephora"
"2931350","MU","Teixeira de Freitas (BA)",0,1000,1000,0,1,13.11111111,0.065666667,0.146,0.089666667,1,487.0553989,"other municipalities","Canephora"
"2932101","MU","Ubaíra (BA)",786,0,786,1,0,9.661111111,0.511333333,0.457333333,0.480333333,0.3,39.48449432,"other municipalities","Arabica"
"2933257","MU","Vereda (BA)",0,0,0,NA,NA,12.93888889,0.104666667,0.136333333,0.080333333,1,328.6748755,"other municipalities",NA
"2933505","MU","Wenceslau Guimarães (BA)",0,380,380,0,1,8.016666667,0.674,0.630333333,0.635666667,1,21.58939675,"other municipalities","Canephora"
"3100302","MU","Abre Campo (MG)",5280,0,5280,1,0,18,0.197666667,0.23,0.205,0.3,119.1863086,"other municipalities","Arabica"
"3100500","MU","Açucena (MG)",50,0,50,1,0,17.85,0.338,0.400666667,0.679666667,0.3,8.753558835,"other municipalities","Arabica"
"3101003","MU","Águas Vermelhas (MG)",185,0,185,1,0,22.52222222,0.188666667,0.044333333,0.078333333,0.3,417.1443052,"other municipalities","Arabica"
"3101102","MU","Aimorés (MG)",412,1605,2017,0.20426375805652,0.79573624194348,24.83888889,0.076,0.104,0.136666667,0.712,363.2119736,"other municipalities","Canephora"
"3101409","MU","Albertina (MG)",1500,0,1500,1,0,18.66666667,0.233,0.215,0.206666667,0.3,109.847304,"other municipalities","Arabica"
"3101607","MU","Alfenas (MG)",10900,0,10900,1,0,27,0.047,0.053666667,0.060333333,0.3,311.1056441,"other municipalities","Arabica"
"3101706","MU","Almenara (MG)",480,0,480,1,0,11.94444444,0.261333333,0.440333333,0.324666667,0.3,209.2917513,"other municipalities","Arabica"
"3102001","MU","Alterosa (MG)",3530,0,3530,1,0,22.26666667,0.061,0.062,0.062666667,0.3,266.0798466,"study area","Arabica"
"3102050","MU","Alto Caparaó (MG)",3900,0,3900,1,0,27.33333333,0.424,0.413,0.402333333,0.3,54.8662616,"other municipalities","Arabica"
"3102209","MU","Alvarenga (MG)",840,12,852,0.985915492957746,0.0140845070422535,15.89444444,0.173666667,0.206333333,0.237,0.323,92.81816591,"other municipalities","Arabica"
"3102506","MU","Amparo do Serra (MG)",230,0,230,1,0,16.66666667,0.217333333,0.212333333,0.173,0.3,150.3904848,"other municipalities","Arabica"
"3102605","MU","Andradas (MG)",7770,0,7770,1,0,27.16666667,0.149666667,0.146666667,0.140666667,0.3,164.9765993,"study area","Arabica"
"3102704","MU","Cachoeira de Pajeú (MG)",10,3,13,0.769230769230769,0.230769230769231,10.25,0.325333333,0.113333333,0.105333333,0.562,223.9380022,"other municipalities","Arabica"
"3102803","MU","Andrelândia (MG)",253,0,253,1,0,15.01666667,0.093,0.081666667,0.055,0.3,485.5241691,"other municipalities","Arabica"
"3103009","MU","Antônio Dias (MG)",80,0,80,1,0,18.37222222,0.530666667,0.645,0.487666667,0.3,93.50431256,"other municipalities","Arabica"
"3103108","MU","Antônio Prado de Minas (MG)",105,0,105,1,0,11.88333333,0.169,0.190666667,0.181666667,0.3,165.4929544,"other municipalities","Arabica"
"3103702","MU","Araponga (MG)",4470,0,4470,1,0,21.33333333,0.399666667,0.329333333,0.274333333,0.3,98.27767384,"other municipalities","Arabica"
"3104304","MU","Areado (MG)",2718,0,2718,1,0,28.7,0.047,0.071333333,0.084,0.3,250.2072618,"other municipalities","Arabica"
"3104601","MU","Astolfo Dutra (MG)",180,0,180,1,0,16.91111111,0.078666667,0.097333333,0.058,0.3,225.3595674,"other municipalities","Arabica"
"3104700","MU","Ataléia (MG)",65,0,65,1,0,12.01666667,0.046666667,0.08,0.126333333,0.3,290.0260129,"other municipalities","Arabica"
"3104908","MU","Baependi (MG)",1522,0,1522,1,0,20.66666667,0.171333333,0.132666667,0.157,0.3,187.2189174,"study area","Arabica"
"3105301","MU","Bandeira do Sul (MG)",450,0,450,1,0,20.33333333,0.126333333,0.148333333,0.178666667,0.3,106.5007642,"other municipalities","Arabica"
"3106408","MU","Belo Vale (MG)",70,0,70,1,0,7.144444444,0.122333333,0.107333333,0.031333333,0.3,301.8135871,"other municipalities","Arabica"
"3107604","MU","Bom Jesus da Penha (MG)",1935,0,1935,1,0,36.23333333,0.134333333,0.130333333,0.141,0.3,153.7545604,"study area","Arabica"
"3107802","MU","Bom Jesus do Galho (MG)",2000,0,2000,1,0,13.66666667,0.301666667,0.248333333,0.269666667,0.3,69.36728906,"other municipalities","Arabica"
"3108008","MU","Bom Sucesso (MG)",3000,0,3000,1,0,20.33333333,0.1,0.11,0.106666667,0.3,249.2671375,"other municipalities","Arabica"
"3108305","MU","Borda da Mata (MG)",750,0,750,1,0,18.66666667,0.096333333,0.114333333,0.106333333,0.3,185.1776737,"other municipalities","Arabica"
"3108404","MU","Botelhos (MG)",6300,0,6300,1,0,19.75,0.107,0.121333333,0.119,0.3,162.6095467,"study area","Arabica"
