"codigo_ibg","yield","FC_m","FC2km","FC500m","PollinatorD","EUdist","ID"
2900900,20.55555556,0.459666667,0.729333333,0.582333333,1,52.87795425,"other municipalities"
2902252,28.45555556,0.882,0.782333333,0.593666667,1,49.26414609,"other municipalities"
2902906,17.66111111,0.175,0.137333333,0.116,0.3,287.7084416,"other municipalities"
2904803,10,0.166333333,0.058333333,0.231,0.3,811.4261436,"other municipalities"
2905602,18.37777778,0.745333333,0.639333333,0.404333333,1,95.95488104,"other municipalities"
2905800,18.33333333,0.677666667,0.814333333,0.663,1,39.80384766,"other municipalities"
2908002,21.45555556,0.529,0.764666667,0.619333333,1,56.43135265,"other municipalities"
2909505,10,0.368333333,0.505,0.517333333,0.3,56.01244044,"other municipalities"
2910008,10.28333333,0.319333333,0.356666667,0.447333333,1,82.49391715,"other municipalities"
2910404,11.99444444,0.137,0.177333333,0.149333333,0.3,194.5011388,"other municipalities"
2910727,10,0.221,0.174666667,0.126666667,1,275.1183042,"other municipalities"
2911204,10.86111111,0.718333333,0.695666667,0.625666667,1,28.77219151,"other municipalities"
2911808,10.93888889,0.190666667,0.239333333,0.21,1,222.309036,"other municipalities"
2912707,10.74444444,0.758333333,0.607,0.327333333,1,129.4475839,"other municipalities"
2913507,4.722222222,0.207666667,0.226333333,0.281666667,0.3,110.4127463,"other municipalities"
2914653,10,0.270333333,0.176666667,0.145666667,1,212.9393239,"other municipalities"
2915106,12.44444444,0.458,0.376333333,0.373333333,0.3,48.63330828,"other municipalities"
2915502,16.88888889,0.830666667,0.809,0.615666667,1,48.31205503,"other municipalities"
2915601,34,0.23,0.097666667,0.081666667,1,448.7629545,"other municipalities"
2915700,12.92777778,0.627666667,0.619333333,0.474333333,1,37.56018709,"other municipalities"
2915809,10,0.138333333,0.073,0.069666667,0.3,359.226421,"other municipalities"
2916005,13.77777778,0.052666667,0.113333333,0.129,1,393.223856,"other municipalities"
2916708,8.955555556,0.208333333,0.204666667,0.151333333,0.3,162.4562378,"other municipalities"
2916906,10,0.221666667,0.170666667,0.164,0.3,167.4504164,"other municipalities"
2918209,18.31111111,0.55,0.424,0.508333333,1,24.64659845,"other municipalities"
2918308,12.4,0.590666667,0.617,0.462333333,0.3,73.52168242,"other municipalities"
2918456,23.05555556,0.171,0.254,0.158,1,215.2026673,"other municipalities"
2918555,21.12222222,0.336666667,0.621666667,0.610666667,1,58.69976342,"other municipalities"
2920908,15.9,0.407333333,0.328,0.192333333,1,189.3845939,"other municipalities"
2921104,14.32777778,0.014666667,0.015,0.037333333,1,723.1161008,"other municipalities"
2922706,4.883333333,0.112,0.351666667,0.487333333,0.3,78.53528574,"other municipalities"
2925758,16.12777778,0.601666667,0.645666667,0.568,1,26.86127385,"other municipalities"
2926657,11.11111111,0.192,0.297666667,0.253666667,0.3,136.2703188,"other municipalities"
2927903,10.00555556,0.352333333,0.488666667,0.415,0.3,97.1399067,"other municipalities"
2928059,22.88888889,0.627,0.551666667,0.428333333,1,95.64200726,"other municipalities"
2931350,13.11111111,0.065666667,0.146,0.089666667,1,487.0553989,"other municipalities"
2932101,9.661111111,0.511333333,0.457333333,0.480333333,0.3,39.48449432,"other municipalities"
2933257,12.93888889,0.104666667,0.136333333,0.080333333,1,328.6748755,"other municipalities"
2933505,8.016666667,0.674,0.630333333,0.635666667,1,21.58939675,"other municipalities"
