"property_ID","scen","predicted_coffee_bags","yield_USD_future","diff_USD","npv_yield_USD_future"
1,"fl10",907.379999999994,120893.307227663,-11583.3103334578,-113580.161756359
1,"fl20",616.499999999996,82138.3807289713,-50338.2368321492,-493591.634630638
1,"fl30",1143.17999999999,152309.738980933,19833.1214198127,194473.693110783
1,"fl40",964.979999999993,128567.550098691,-3909.06746242991,-38330.3651475915
1,"rl20",935.999999999994,124706.446654205,-7770.17090691576,-76190.419066377
1,"rl30",1053.35999999999,140342.716503924,7866.0989428033,77131.0415239837
1,"rl40",906.659999999994,120797.379191775,-11679.2383693457,-114520.784213968
1,"baseline",994.319999999993,132476.617561121,0,0
2,"fl10",460.980000000005,61417.9249771969,2062.45277158986,20223.3828386171
2,"fl20",390.060000000004,51969.0134422436,-7386.45876336355,-72427.9292359305
2,"fl30",230.490000000003,30708.9624885985,-28646.5097170085,-280893.381403661
2,"fl40",211.679999999998,28202.8425510278,-31152.6296545793,-305467.143108719
2,"rl20",443.250000000005,59055.6970934586,-299.775112148458,-2939.44518001949
2,"rl30",390.060000000004,51969.0134422436,-7386.45876336355,-72427.9292359305
2,"rl40",443.250000000005,59055.6970934586,-299.775112148458,-2939.44518001949
2,"baseline",445.499999999997,59355.4722056072,0,0
3,"fl10",1301.40000000009,173389.924867302,2002.49774915488,19635.4938025613
3,"fl20",1377.18000000011,183486.350644501,12098.9235263538,118636.007465999
3,"fl30",1213.47000000008,161674.713484497,-9712.71363365019,-95238.023833025
3,"fl40",1479.8700000001,197168.086763004,25780.6596448571,252792.285482556
3,"rl20",1100.43000000006,146614.011850102,-24773.4152680454,-242915.749677759
3,"rl30",1084.50000000006,144491.604056083,-26895.8230620641,-263727.021552372
3,"rl40",1591.0200000001,211976.977303191,40589.5501850439,398000.877376039
3,"baseline",1286.37000000012,171387.427118147,0,0
4,"fl10",3048.0300000002,406099.348926757,151494.350675894,1485478.01618004
4,"fl20",1277.28000000008,170176.335665057,-84428.6625858037,-827865.340503747
4,"fl30",3148.06500000021,419427.350412925,164822.352162064,1616165.74888419
4,"fl40",1602.18000000011,213463.861859454,-41141.1363914072,-403409.456507373
4,"rl20",1576.3500000001,210022.443571976,-44582.554678885,-437154.28717413
4,"rl30",1722.42000000011,229483.843852725,-25121.1543981362,-246325.506086568
4,"rl40",1868.49000000012,248945.244133474,-5659.75411738717,-55496.7249990061
4,"baseline",1910.97000000015,254604.998250861,0,0
5,"fl10",448.020000000061,59691.2203312231,3141.64317532751,30805.3854867186
5,"fl20",424.440000000058,56549.5771558956,0,0
5,"fl30",424.440000000058,56549.5771558956,0,0
5,"fl40",730.980000000099,97390.9384351533,40841.3612792579,400470.011327344
5,"rl20",448.020000000061,59691.2203312231,3141.64317532751,30805.3854867186
5,"rl30",636.660000000086,84824.3657338433,28274.7885779476,277248.469380468
5,"rl40",848.880000000115,113099.154311791,56549.5771558953,554496.938760938
5,"baseline",424.440000000058,56549.5771558956,0,0
6,"fl10",2744.45999999997,365653.690795511,152213.810945041,1492532.68461199
6,"fl20",2140.73999999999,285218.03270355,71778.1528530813,703820.753906362
6,"fl30",1618.91999999998,215694.188693829,2254.30884336047,22104.6277537864
6,"fl40",1394.09999999997,185740.659487846,-27699.2203626222,-271604.734634827
6,"rl20",1491.48000000001,198714.926341683,-14724.953508785,-144385.547243075
6,"rl30",2226.78,296681.43299215,83241.553141681,816225.137590724
6,"rl40",1462.85999999998,194901.786915137,-18538.0929353311,-181775.289933096
6,"baseline",1602.00000000001,213439.879850469,0,0
7,"fl10",2526.8400000001,336659.441948424,91994.9864164299,902056.936847431
7,"fl20",2458.8000000001,327594.242557022,82929.787025028,813168.114603323
7,"fl30",2809.62000000011,374335.17804338,129670.722511384,1271486.40707362
7,"fl40",2596.5900000001,345952.470425059,101288.014893065,993179.737428361
7,"rl20",1967.04000000008,262075.394045618,17410.9385136235,170722.976055935
7,"rl30",2036.97000000008,271392.404531226,26727.948999231,262080.932251268
7,"rl40",2246.67000000009,299331.444983564,54666.9894515689,536037.223030079
7,"baseline",1836.36000000024,244664.455531995,0,0
8,"fl10",1642.68000000008,218859.813878141,-138891.804961123,-1361903.74081152
8,"fl20",2745.7200000001,365821.56485833,8069.94601906673,79129.864246421
8,"fl30",4287.42000000016,571227.471703199,213475.852863935,2093237.70160307
8,"fl40",2599.9200000001,346396.137591041,-11355.481248223,-111346.183419524
8,"rl20",912.240000000031,121540.821469911,-236210.797369354,-2316165.22405653
8,"rl30",1667.34000000007,222145.349107299,-135606.269731965,-1329687.42163841
8,"rl40",1979.46000000008,263730.152664683,-94021.4661745807,-921927.58626463
8,"baseline",2685.15000000009,357751.618839265,0,0
9,"fl10",1874.24999999999,249712.668420559,-117272.023872889,-1149910.95442767
9,"fl20",2128.58999999999,283599.247097943,-83385.4451955059,-817636.071277072
9,"fl30",1486.07999999995,197995.466072517,-168989.226220932,-1657024.0368865
9,"fl40",1822.49999999994,242817.840841113,-124166.851452335,-1217518.19356842
9,"rl20",2024.27999999996,269701.672898686,-97283.0193947623,-953908.749823303
9,"rl30",1929.95999999997,257135.100197379,-109849.592096069,-1077130.29177015
9,"rl40",2220.38999999996,295830.07167364,-71154.620619809,-697706.707931886
9,"baseline",2754.44999999993,366984.692293449,0,0
10,"fl10",2365.20000000013,315123.597891607,-78780.8994729012,-772486.19331193
10,"fl20",2628.00000000014,350137.330990673,-43767.1663738343,-429158.996284409
10,"fl30",2817.36000000015,375366.404429178,-18538.0929353284,-181775.28993307
10,"fl40",1689.48000000007,225095.13621085,-168809.361153657,-1655260.36977862
10,"rl20",2102.40000000011,280109.864792538,-113794.632571969,-1115813.39033946
10,"rl30",2135.25000000011,284486.581429921,-109417.915934586,-1072897.49071102
10,"rl40",2562.30000000014,341383.897715907,-52520.5996486009,-514990.795541286
10,"baseline",2956.50000000016,393904.497364508,0,0
11,"fl10",4332.33000000016,577210.982941704,363183.543871421,3561196.62451014
11,"fl20",2040.48000000011,271860.053706183,57832.6146358984,567077.764131496
11,"fl30",2054.79000000007,273766.623419449,59739.1843491642,585772.635476435
11,"fl40",1905.21000000003,253837.573963742,39810.1348934579,390358.319907987
11,"rl20",3975.0300000001,529606.695132349,315579.256062065,3094412.7299213
11,"rl30",3855.5100000001,513682.641174966,299655.202104682,2938269.4019581
11,"rl40",3864.60000000009,514893.73262805,300866.293557765,2950144.76048541
11,"baseline",1606.41000000003,214027.439070284,0,0
12,"fl10",905.039999999923,120581.541111018,-115557.310231392,-1133097.32799788
12,"fl20",852.83999999991,113626.758509147,-122512.092833263,-1201292.45617459
12,"fl30",883.439999999906,117703.70003438,-118435.15130803,-1161316.00172619
12,"fl40",1468.79999999984,195693.193211194,-40445.6581312162,-396589.943689664
12,"rl20",905.039999999923,120581.541111018,-115557.310231392,-1133097.32799788
12,"rl30",1131.2999999999,150726.926388772,-85411.9249536383,-837506.720694089
12,"rl40",1357.55999999988,180872.311666526,-55266.5396758838,-541916.113390296
12,"baseline",1772.36999999985,236138.85134241,0,0
13,"fl10",1489.68000000005,198475.106251969,25133.1454026075,246443.083893626
13,"fl20",1544.85000000004,205825.592001874,32483.6311525128,318518.279707949
13,"fl30",1627.92000000009,216893.289142442,43551.3282930801,427042.595754723
13,"fl40",1690.11000000001,225179.073242244,51837.1123928826,508288.860530648
13,"rl20",1516.77000000006,202084.398602251,28742.4377528892,281834.0038612
13,"rl30",1473.21000000006,196280.752431036,22938.7915816743,224926.345175819
13,"rl40",1214.64000000003,161830.596542808,-11511.364306554,-112874.69491327
13,"baseline",1301.04000000012,173341.960849362,0,0
14,"fl10",1087.47000000005,144887.307204119,28094.9235106559,275484.802272431
14,"fl20",639.720000000027,85232.0598863589,-31560.3238071041,-309464.788553574
14,"fl30",1510.6500000001,201269.01029721,84476.6266037467,828335.651732543
14,"fl40",1106.01000000007,147357.454128234,30565.0704347708,299705.830555904
14,"rl20",962.640000000041,128255.783982062,11463.4002885987,112404.383684354
14,"rl30",1026.09000000004,136709.442144678,19917.0584512154,195296.737761199
14,"rl40",1130.22000000005,150583.03433496,33790.6506414972,331334.260693001
14,"baseline",876.600000000037,116792.383693463,0,0
15,"fl10",733.680000000076,97750.6685697299,-149120.13178768,-1462197.6103543
15,"fl20",633.510000000071,84404.6805768318,-162466.119780578,-1593061.70976924
